Month,Active Users,Avg Lookups/Day,Monthly UPC Lookups,Cumulative UPCs Looked Up,UPC Saturation (%),UPC API Calls Billed,UPC API Cost,API Plan,UPC Storage Size (GB),User Storage Size (GB),UPC Storage Cost,User Storage Cost,Storage Cost,Total Cost,Break Even Revenue/User
97,932152,0.0625,1747785,264923341,60.51523713390379,1747785,699.0,pro,631.6264653205872,1111.2117767333984,631.6264653205872,1111.2117767333984,1742.8382420539856,2441.8382420539856,0.0026195708876384813
98,940489,0.0625,1763416,266686757,60.91804625220537,1763416,699.0,pro,635.8307766914368,1121.150255203247,635.8307766914368,1121.150255203247,1756.9810318946838,2455.981031894684,0.002611387301600214
99,947858,0.0625,1777233,268463990,61.3240115251452,1777233,699.0,pro,640.0680303573608,1129.9347877502441,640.0680303573608,1129.9347877502441,1770.002818107605,2469.002818107605,0.0026048235264223177
100,954359,0.03125,894711,269358701,61.52838630060643,894711,699.0,pro,642.2011876106262,1137.6845836639404,642.2011876106262,1137.6845836639404,1779.8857712745667,2478.8857712745667,0.002597435316557571
101,960083,0.03125,900077,270258778,61.73398680710832,900077,699.0,pro,644.3471384048462,1144.5081233978271,644.3471384048462,1144.5081233978271,1788.8552618026733,2487.8552618026733,0.0025912918589358143
102,965116,0.03125,904796,271163574,61.94066525337557,904796,699.0,pro,646.504340171814,1150.507926940918,646.504340171814,1150.507926940918,1797.012267112732,2496.012267112732,0.0025862303257978645
103,969535,0.03125,908939,272072513,62.14829006634082,908939,699.0,pro,648.6714196205139,1155.775785446167,648.6714196205139,1155.775785446167,1804.447205066681,2503.447205066681,0.0025821112234903133
104,973409,0.03125,912570,272985083,62.35674429216641,912570,699.0,pro,650.847156047821,1160.3939533233643,650.847156047821,1160.3939533233643,1811.2411093711853,2510.2411093711853,0.0025788143620730703
105,976802,0.03125,915751,273900834,62.5659251393935,915751,699.0,pro,653.0304765701294,1164.4387245178223,653.0304765701294,1164.4387245178223,1817.4692010879517,2516.4692010879517,0.002576232646010094
106,979771,0.03125,918535,274819369,62.77574192311279,918535,699.0,pro,655.2204346656799,1167.978048324585,655.2204346656799,1167.978048324585,1823.198482990265,2522.198482990265,0.0025742734608293827
107,982367,0.03125,920969,275740338,62.986114694411846,920969,699.0,pro,657.4161958694458,1171.0727214813232,657.4161958694458,1171.0727214813232,1828.488917350769,2527.488917350769,0.0025728560887639438
