plu,category,commodity,variety,size,measurements_north_america,measurements_rest_of_world,restrictions_notes,botanical_name,aka,notes,revision_date,date_added,gpc,image_url,image
3117,Fruits,Peaches,Yellow Flesh (Tree Ripened/Ready-to-eat),Large,66 size and larger,Average Fruit Weight =  185g and above,Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.,Prunus persica,NA,NA,2021-02-26,1999-12-31,NA,http://check.ifpsglobal.com/file/view/4403-peaches-1-1625664942_1633450538.jpg,4403-peaches-1-1625664942_1633450538.jpg
3118,Fruits,Pears,Starkrimson,All Sizes,NA,NA,NA,Pyrus spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3118-starkrimson-pear_1629985883.PNG,3118-starkrimson-pear_1629985883.PNG
3119,Vegetables,Peppers (Capsicums),"Bell, Greenhouse - Green",Small,med. size and smaller,Min diameter less than 65mm,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/4065-bells-green-08-1625063277_1632946052.jpg,4065-bells-green-08-1625063277_1632946052.jpg
3120,Vegetables,Peppers (Capsicums),"Bell, Greenhouse - Green",Large,large size and larger,Min diameter 65mm and above,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/4065-bells-green-08-1625063277_1632945692.jpg,4065-bells-green-08-1625063277_1632945692.jpg
3121,Vegetables,Peppers (Capsicums),"Bell, Greenhouse - Orange",All Sizes,NA,NA,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/4682-bells-orange-01-1625684866_1632945425.jpg,4682-bells-orange-01-1625684866_1632945425.jpg
3122,Vegetables,Peppers (Capsicums),"Bell, Greenhouse - White",All Sizes,NA,NA,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3123,Vegetables,Peppers (Capsicums),"Bell, Greenhouse - Brown",All Sizes,NA,NA,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3124,Vegetables,Peppers (Capsicums),"Bell, Greenhouse - Purple",All Sizes,NA,NA,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/4683-purple-pepper_1637092482.jpg,4683-purple-pepper_1637092482.jpg
3125,Vegetables,Peppers (Capsicums),Habanero,All Sizes,NA,NA,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3125-chiles-habanero-01_1614707883.jpg,3125-chiles-habanero-01_1614707883.jpg
3126,Fruits,Plumcot (Interspecific Plum),Retailer Assigned,All Sizes,NA,NA,NA,Prunus armeniaca hybrid,NA,NA,2008-06-03,2008-06-03,NA,NA,NA
3127,Fruits,Pomegranate,NA,Medium,30 to 36 size,Average Fruit Dimensions = 3.375 - 3.875 inch,NA,Punica granatum,NA,NA,2007-10-30,2007-10-30,NA,http://check.ifpsglobal.com/file/view/3127-pomegranate_1630597206.jpg,3127-pomegranate_1630597206.jpg
3128,Vegetables,Potato,Purple,All Sizes,NA,NA,NA,Solanum tuberosum,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3128-potatoes-purple-06_1614708225.jpg,3128-potatoes-purple-06_1614708225.jpg
3129,Fruits,Grapefruit,Pummelo - Red,All Sizes,NA,NA,NA,C.grandis,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3130,Vegetables,Pumpkin,Jumbo,All Sizes,NA,NA,NA,Cucurbita pepo,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3131,Vegetables,Pumpkin,Decorative (Painted),All Sizes,NA,NA,NA,Cucurbita pepo,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3132,Vegetables,Pumpkin,White,All Sizes,NA,NA,NA,Cucurbita pepo,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3132-white-pumpkin_1633964669.jpg,3132-white-pumpkin_1633964669.jpg
3133,Vegetables,Pumpkin,White - Mini,All Sizes,NA,NA,NA,Cucurbita pepo,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
